entry,defid,word,author,definition,example,thumbs_up,thumbs_down
carararaaa,1880557,Carararaaa,Caitriin,"To comemorate the [French] occupation of [Vietnam], ""Carararaaa"" combines both French and Asian language to express her name. Said with a polite bow and the bite of a [croissant], ""Carararaaa"" mirrors the features of an [ant] and likes to hit people to awaken them from their peaceful slumber. Although she would have you believe otherwise, her [pizza] making skills lack and she is actually above the [age] of 12. People often question themselves as to why they [love] her but they soon come to the conclusion that ""Carararaaa"" will give them candy if they do.","""Person 1: Can I see you ID?
Person 2: No, I'm Carararaaa!
Person 1: Get out of my club""

""Person 1: Who's that in the gutter outside this club?
Person 2: Oh that's jsut Carararaaa. Should we help her get in?
Person 3: No""

""Person on megaphone: Who do we love?!""
Crowd: Carararaaa!
Person on megaphone: Why do we love her?!
Crowd: CANDY!""",1,3
cbaatmtbhlol,2405270,cbaatmtbhlol,KatieMert__,"cabatmtbhlol
sure youve all heard of cba, atm, tbh and lol so this is just all them words wacked together.
cant be arsed. at the minute. to be honest. laugh out loud.
define lol as what you wish, i really dont care.","Teacher: today were doing fractions
pupils to eachother: *groans* I cbaatmtbhlol.",6,2
cbaatmtbhroflmfao,2556863,cbaatmtbhroflmfao,Willeeam,"Cant Be Arsed At The Moment To Be Honest, Rolling On the Floor Laughing My Fucking Arse Off","""Gna watch family guy?""
""Nah, I cbaatmtbhroflmfao""",7,6
ccnaa,6559754,CCNAA,FounderCCNAA,The Career Courtesans of North America Association,"Founded in 2012 to supply necessary information to and create a unified forum for professional courtesans/sex trade workers in North America. CCNAA was created after legislation was passed on March 26, 2012 by the Ontario (Canada) Court of Appeal to legalize brothels and allow sex trade workers to employ body guards/security.

The CCNAA anticipates many years of support and informational offerings to the hard working women, men and transgender members of this time honored industry.",0,2
ceaan,6655666,Ceaan,wordfinder09,"Ceaan is a pretty, skinny but can be jealous of others and this causes her to act in ways she shouldn't. Though she has a beautiful figure and her hair is often silky and precious. Guys find it hard to resist her charms though she has a hidden lack of self esteem issue, though she may appear confident she is always jealous of others which is why she cant help but let others down just to bring herself up. She is sporty and smart and can be a loyal friend, though if she has any enemies they'll know. She lures people in with her charms and it is only after they make her jealous that she starts to question her feelings towards her lovers and friends. Though she is an amazing sport player, she has hair as precious as gold and a figure that belongs in the pages of a magazine. She can be a nice loyal friend with just a few un-friendly manners. They make good personal trainers, gym teachers and mums.","Guy A - ""That girl is so amazing""
Guy B ""She can really play""
Guy A- ""Must be a Ceaan""",5,0
celeste saadeh,2292249,Celeste Saadeh,Z-Fizzle,The hottest chick on the face of the earth!!!,Holy Shit! Celeste Saadeh is so fucking HOT!!,0,4
chaa,1242,Chaa,Erika,Yes,,31,16
chaa,5909,Chaa,Anonymous,"Obsolete. Archaic. ""Yes""","Seaman: Would you like a bit o' me cod?
Alewife: Chaa!",15,5
chaa,4537274,Chaa,dannyboy6188,Yes,"Davy Jones- Do you want to go to the movies tomorrow?

Paris Hilton- Chaa",3,2
chaa,3920390,chaa,mr. scalp,"korean excellence, the highest ranking of amazing a single person can achieve","""Wow that guy over there is such a chaa, he is feeding the [homeless] and is giving out free movie tickets!""",1,1
chaa,208484,Chaa,Blah,ValleySpeak.,"Is he hot?
Like, Chaa!",7,17
chaaa,3187125,Chaaa,Murph $krilla,"An expression used to describe agreement to ones subject matter.. similar to [yeah],[yup] or [yes].. Branded by the group 80s Babyz / Pterodactyl Gang.. Pronounced with a long a sound like ""Chad"".","Person1:Are u ready to go to the studio?
Person2:CHAAA! I been waiting all day.",13,3
chaaa,5898092,chaaa,misslaydee510,polite way of saying 'shut up!',"''omg, will u people, CHAAA!!! I cant hear the tv.""

""ay you, CHAA! talkiing to loud!",2,6
chaaaa,7037283,Chaaaa,Somedude123123123,"1)The sound said by somebody (usually a surfer) as they make the hand gesture in which they put their thumb and pinkey finger out and shake their hand
2) Awesome or chill
3) the word ""yeah"" said in surfer-dialect","1) surfer dude #1: duuuude that wave was totally awesome
Surfer dude #2: *puts thumb and pinky out and shakes hand* chaaaa

2) guy #1: Do you know Derek?
Guy #2: Yeah! Hes a pretty chaaaa guy.

3) surfer dude #1 : Hey do you wanna come over later today?
Surfer dude #2: Chaaaa",5,0
chaaaaa,4515160,chaaaaa,Achi-kun,The sound that a person makes while dieing freezing to death in snow.,"P1: i was wondering who all likes snow.

P2: well i am a cold person, so i love the [snow], every bit of it!
i could cover myself up in it and fall asleep
=D chaaaaa...",0,4
chaaaaaa!,3055048,Chaaaaaa!,Jason Lemay,"When a person utters the phrase ""Chaaaaaa!"" to a male it psychologically robs the male of his manhood and dignity. Leaving him in a confused state. To regain one's manhood after being stolen by the word ""Chaaaaaa!” one must repeat the word ""Chaaaaaa!"" to the person who originally spoke it.","Tom said ""Chaaaaaa!"" to Dave and left him robbed of his manhood. So Dave repeated the phrase to Tom and regained his manhood.

Tom: Chaaaaaa!",8,15
chaaaad,914679,Chaaaad,adam,proper noun: salutation for the one they called Chad.,"hi mark, hi sal... hi chaaaad! get out it chad!",7,5
chaaa dude,4967972,chaaa dude,kenny bra,a word commonly used by kenny hudson when he is either about too get stoned or is currently stoned,kenny bro watsup u wanna get high? : chaaa dude,2,0
chaach,2256003,chaach,YakMaan,"A chaach is an American slang term used to describe a male that has several characteristics. The chaach is a male that superficial women tend to fall for. The chaach usually wears the ""in"" cloths (ie: pre-ripped pants, abercrombie and fitch gear) or is made to wear them by his woman. The chaach is not a very smart or motivated individual but often scrapes by in school. The chaach will drink very low end beer and liquor. There are many other ways to describe ""the chaach"" but the best way to sum it all up is: A chaach is a sheep who is at the head of the pop culture herd and reaps those worthless benefits in vain.","My Chemistry class is an interesting mix of chaach and nerd.
My roommate is a chaach.
She loves the chaach in him!",8,6
chaach,6852926,Chaach,pnda,Someone who is acting like a jerk.,"Man, you're being such a chaach.",1,1
chaach,1095653,chaach,tronnie,"A extreme power - tool. Always a derogatory term, a chaach usually listens to boring music and whines about not having a woman. He most likely will be high on Marijuana, pretending to know something about music.",Stafford R. Brooke IV,10,15
chaaat,3946446,chaaat,daWoRdStEr,"A word that can be used to lighten up any situation, and one that can fit into almost any sentence if used correctly.","Bob: Hey, Rob, why do you smell so bad?

Rob: You know what, Bob, don't be such a chaaat!

Bob: But you really do smell like chaaat!",0,0
chaachii,3683067,chaachii,$Kash$,A word that describes a hookah or smoking pipe with an ancient aura.,Lets go hit the chaachii.,0,0
chaa daa,4074642,chaa daa,"im scooby-doo, i dont care","its like shortening cha dude which was shortened (or mispronounced) from yeah dude!

if you were gonna say it but you didnt know how, it would probably be spelt (in pronouncing version):
chiah dah

(note: do not pronounce like chia from those chia pet commercials because then youll just sound stupid)","Buddy: dude this rocks!!!!

you:chaa daa",1,1
chaa-ching,148015,chaa-ching,blackman1,A sound made to denote money coming in.,I just won fifty dollars. Cha-CHING!,7,3
chaa-ching,35204,chaa-ching,Lou Lou,cha-chinalading,cha-chingalac*ksniff,0,2
chaa-ching,173608,chaa-ching,Ben and Emma...the kick ass cousins,"The word everyone should say in anytime of an odd silence.


Invented by Ben and Emma, the kick ass cousins!","So you're dating my boyfriend...

(Ten minutes later)

Chaa-ching!",3,8
chaa-ching,35200,chaa-ching,Lou Lou,The fine white line between reality and insanity,gotsta get me some Cha-Ching Bo!,0,5
chaa-ching,35203,chaa-ching,moomin,chingwing,chaa-ching badabing! cockalaching,2,9
chaag,3272038,chaag,KAWF,"It's pronounced, ""chaghg"". The double ""a"" is included in the word, ""as"".
It refers to vomiting.","Last night, I had a really bad migraine(headache)and I chaaged in toilet.",5,0
chaakk theii futaii,3697618,Chaakk Theii Futaii,lovellly jubleeee,"This is a phase from punjabi, a language from india, or you could say a dialect, it is normally screamed at parties meaning "" RAISE THE ROOF"" or literally Throw The Tiles, but you get the meaning!","Raj: Hey Meena, Chaakk Theii Futaii , aja!!! 
Meena: CHAAKK THEII FUTAII, man i love this phrase.
Aunty: RAJ, MEENA, stop shouting and come an eat some samosas, NOW, before I slap you round the ear... chaakk theii futaii indeed, i remember when uncle and me used to say that, these kids think they invented everything! tussttt...",10,8
chaala,2631889,chaala,Parthan,Malayalam name for a kind of sardine species fish. Its good to fry (not breaded shit) and curry.,Kappa and chaala curry is a good combination...,5,0
chaaley,2046736,Chaaley,B. Martin,"""Chaaley"" is a term that applies to many situations. You can say it when your excited about something, when your upset and even when in disbelief.","Someone tell's you a story you dont beleive and you reply  with ""Chaaley""!",14,1
chaalklate,4796599,Chaalklate,J Rodge,"An accented term used typically by females from Long Island, New York. If said properly, should be pronounced ""chocolate.""","Christie begged John for a piece of chaalklate.

Yo i need some chaalklate in my mouth right now Christie.

Chaalklate is my favorite, especially when I'm covered in it.",3,0
chaamy,7306682,chaamy,GirlsJustWannaHavaFunn,"A girl who has a warm, kind heart. When your sad, she will always bring out that smile. She is always such a smart, beautiful girl. She enjoys thrills. She's a true artist and enjoys drawing. She us never clumsy and is always active. She may become a true artist.","Chaamy, your the apple of my eye.",0,1
chaan,7449973,chaan,LangdenAlger,"Pretty cool guy, tall, sassy and odd.. Also the blackest brown guy you'll ever meet.","Hey, have you seen Chaan? I need to talk to him about the new Madea movie and ask him to get me something from a high place.",1,1
chaapu,6209384,chaapu,123qwer!@#,Chaapu is the term used in IIT Kanpur for a person who is the best in his field.,"Susobhan: I want to learn guitar...how can I ??

Ramdeo : Why dont you talk to a Tanmay..he is a chaapu guitar player ?",10,0
chaapu,5912667,chaapu,eagle in iitk,Someone brilliant. Common in few engineering colleges in India.,"Tu Chaapu hai yaar

Bhenchod khud to jyada chaapu samjhta hai kya?

Chaap diya launde ne to!
Chaapna to hamari aadaton mein se ek hain.",5,1
chaar,2337968,Chaar,trecaa,A posh way to say chair,"My that's a nice chaar you're sitting on.
This Chaar is so comfy",4,2
chaar,2545884,Chaars,Rachel Cook,"A way of saying thankyou, taken from [cheers]","A. 'Yes you may borrow my camera'
B. 'Chaars'",2,1
chaarana kam aathana jyada,84662,chaarana kam aathana jyada,Dilip Advani,Screwed up person !!,He is chaarana kam aathana jyada,0,14
chaarl,5012165,chaarl,sexymica,"unwitting and unbidden erratic movement or behavior, triggered by an unknown force, usually an action that failsto achieve it's completion because of it's strangeness or unexpectedness. (drugs may be involved)

Also may be perpetrated upon others. (deliberately to chaarl someone)","someone tries to put a lighter on the table and as they try to put it on the table they miss and then they try to catch it before it drops on the floor they lose their grip and it falls.

that guy is chaarl",9,0
chaarvee,4497721,Chaarvee,Rcorp,"1. A person who is intelligent, curious and pleasing to have conversations with.

2. Somebody who looks good with glasses.","1. Wow I met this cool girl in class today, what a Chaarvee!

2. Man I wish I had better eyesight... Nobody'll think I'm a Chaarvee... :(",3,0
chaaron,4641907,chaaron,mr.chaaron,A terrifying domesticated bear.,That chaaron is a real bear.,2,0
ch'aat,3752256,Ch'aat,anthony991,"The acknowledgment of a general truth where an audience feels inclined to mention that a certain statement resonates with them. This word derives from the statement ""true that."" Ch'aat is a much easier and more functional way to express the feelings of ""I agree, true that, etc..."" Ch'aat is typically stated in a very fast and quick manner where the intonation of the a has an ""ah"" sound to it. The word, when stated sounds like ""chewthaa.""","""Ugh this Statistics Test is so hard.""
""Ch'aat!!""

""She is wearing such an ugly dress.""
""Ch'aat.""

""I hate this administration""
""Ch'aat""",2,0
